Motive Confirmed,,,,,,,,,,,,,,,,,
,Date,Name,Sex,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,"Tortured
"
,"August 11, 2007",Ali Sharmarke,Male,Somalia,HornAfrik,Somalia/Canada,Radio,Publisher,War,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"August  2, 2007",Chauncey Bailey,Male,USA,Oakland Post,United States,Print,Editor,"Business, Corruption, Crime, Culture, Politics",No,Local,Criminal Group,Murder,Partial,No,Yes,"No
"
,"July 27, 2007",Adnan al-Safi,Male,Iraq,Al-Anwar,Iraq,Television,Broadcast,"Culture, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"July 16, 2007",Majeed Mohammed,Male,Iraq,Kirkuk al-Yawm and Hawal,Iraq,Print,Print Reporter,"Culture, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"July 16, 2007",Mustafa Gaimayani,Male,Iraq,Kirkuk al-Yawm and Hawal,Iraq/Sweden,Print,Editor,Politics,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"July 13, 2007",Khalid W. Hassan,Male,Iraq,The New York Times,Iraq/Palestine,Print,Print Reporter,War,No,Foreign,Political Group,Murder,Yes,No,No,"No
"
,"July 12, 2007",Namir Noor-Eldeen,Male,Iraq,Reuters,Iraq,Print,Photographer,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"July  3, 2007",Javed Khan,Male,Pakistan,Markaz and DM Digital TV,Pakistan,"Print, Television, Radio",Photographer,Politics,No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
"
,"June 27, 2007",Sarmad Hamdi Shaker,Male,Iraq,Baghdad TV,Iraq,Television,Broadcast,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"June 26, 2007",Hamid Abed Sarhan,Male,Iraq,freelance,Iraq,Print,"Editor, Print Reporter",Politics,Yes,Local,Political Group,Murder,Yes,No,No,"No
"
,"June 17, 2007",Filaih Wuday Mijthab,Male,Iraq,Al-Sabah,Iraq,Print,Editor,Politics,No,Local,Political Group,Murder,Yes,Yes,Yes,"No
"
,"June 13, 2007",Serge Maheshe,Male,Democratic Republic of the Congo,Radio Okapi,Congolese,Radio,"Broadcast, Editor",War,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"June 11, 2007",Aref Ali Filaih,Male,Iraq,Aswat al-Iraq,Iraq,Print,Print Reporter,War,Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"June  7, 2007",Sahar Hussein Ali al-Haydari,Female,Iraq,National Iraqi News Agency and Aswat al-Iraq,Iraq,Print,Print Reporter,War,Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"June  6, 2007",Mohammad Hilal Karji,Male,Iraq,Baghdad TV,Iraq,Television,Broadcast,War,No,Local,Political Group,Murder,Yes,Yes ,Yes,"Yes
"
,"June  4, 2007",Zakia Zaki,Female,Afghanistan,Sada-i-Sulh,Afghanistan,Radio,,"Human Rights, Politics",No,Local,Local Residents,Murder,Yes,No,Yes,"No
"
,"June  2, 2007",Noor Hakim Khan,Male,Pakistan,Daily Pakistan,Pakistan,Print,Print Reporter,"Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
,"June, 2007",Paulos Kidane,Male,Eritrea,Eri-TV and Dimtsi Hafash,Eritrea,"Radio, Television",Broadcast,"Culture, Sports",No,Local,Unknown Fire,Unknown,,No,Yes,"No
"
,"May 31, 2007",Edward Chikomba,Male,Zimbabwe,Zimbabwe Broadcasting Corporation (former),Zimbabwe,Television,Camera Operator,Politics,Yes,Local,Government Officials,Murder,Yes,Yes,Yes,"No
"
,"May 30, 2007",Nazar Abdulwahid al-Radhi,Male,Iraq,Aswat al-Iraq and Radio Free Iraq,Iraq,"Print, Radio","Broadcast, Print Reporter",War,Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"May 17, 2007",Saif Laith Yousuf,Male,Iraq,ABC News,Iraq,Television,Technician,War,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"May 17, 2007",Alaa Uldeen Aziz,Male,Iraq,ABC News ,Iraq,Television,Camera Operator,War,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"May 16, 2007",Ahmed Hassan Mahad,Male,Somalia,Radio Jowhar,Somalia,Radio,Broadcast,Politics,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"May 16, 2007",Abshir Ali Gabre,Male,Somalia,Radio Jowhar ,Somalia,Radio,Editor,Politics,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"May 13, 2007",Suleiman Abdul-Rahim al-Ashi,Male,Israel and the Occupied Palestinian Territory,Palestine,Palestinian Territory,Print,Editor,Politics,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
,"May  9, 2007",Raad Mutashar,Male,Iraq,Al-Raad,Iraq,Print,Publisher,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"May  6, 2007",Dmitry Chebotayev,Male,Iraq,freelance,Russia,Print,Photographer,War,Yes,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"May  5, 2007",Mohammed Abdullahi Khalif,Male,Somalia,Voice of Peace,Somalia,Radio,Broadcast,Politics,Yes,Local,Criminal Group,Crossfire/Combat-Related,,No,No,"No
"
,"May 5, 2007",Luiz Carlos Barbon Filho,Male,Brazil,"Jornal do Porto, JC Regional, and Rádio Porto FM ",Brazil,"Print, Radio",Columnist,Corruption,No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"April 29, 2007",Selvarajah Rajeewarnam,Male,Sri Lanka,Uthayan,Sri Lanka,Print,Print Reporter,"Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"April 28, 2007",Mehboob Khan,Male,Pakistan,freelance,Pakistan,Print,Photographer,Politics,Yes,Local,Political Group,Dangerous Assignment,,No,No,"No
"
,"April 16, 2007",Subash Chandraboas,Male,Sri Lanka,Nilam,Sri Lanka,Print,Publisher,"Culture, Sports",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"April 12, 2007",Khaled Fayyad Obaid al-Hamdani,Male,Iraq,Nahrain,Iraq,Television,Producer,"Culture, Sports",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"April  8, 2007",Ajmal Naqshbandi,Male,Afghanistan,freelance ,Afghanistan,Print,Print Reporter,War,Yes,Local,Political Group,Murder,Yes,Yes,Yes,"No
"
,"April  6, 2007",Amado Ramírez Dillanes,Male,Mexico,Televisa and Radiorama,Mexico,"Radio, Television",Broadcast,"Crime, Culture, Politics",No,Local,Criminal Group,Murder,Partial,No,Yes,"No
"
,"April 6, 2007",Othman al-Mashhadani,Male,Iraq,Al-Watan,Iraq,Print,Print Reporter,"Human Rights, Politics, War",Yes,Foreign,Political Group,Murder,Yes,Yes,Yes,"Yes
"
,"April  5, 2007",Khamail Khalaf ,Female,Iraq,Radio Free Iraq,Iraq,Radio,Broadcast,Culture,No,Foreign,Political Group,Murder,Yes,Yes,Yes,"Yes
"
,"April  5, 2007",Thaer Ahmad Jaber ,Male,Iraq,Baghdad TV,Iraq,Television,Editor,Politics,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"March 17, 2007",Miguel Pérez Julca,Male,Peru,Radio Éxitos ,Peru,Radio,Columnist,"Corruption, Crime",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"March 17, 2007",Hamid al-Duleimi,Male,Iraq,Nahrain,Iraq,Television,Producer,Politics,No,Local,Political Group,Murder,Yes,Yes,No,"Yes
"
,"March  7, 2007",Yussef Sabri,Male,Iraq,Biladi,Iraq,Television,Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"March  4, 2007",Mohan Hussein al-Dhahir,Male,Iraq,Al-Mashreq,Iraq,Print,Editor,Politics,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"March  2, 2007",Ivan Safronov,Male,Russia,Kommersant,Russia,Print,Print Reporter,"Business, Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
,"February 24, 2007",Jamal al-Zubaidi,Male,Iraq,As-Saffir and Al-Dustour,Iraq,Print,Editor,Business,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"February  5, 2007",Abdulrazak Hashim Ayal al-Khakani,Male,Iraq,Jumhuriyat al-Iraq,Iraq,Radio,"Broadcast, Editor",Politics,No,Local,Political Group,Murder,Yes,Yes,No,"Yes
"
,"January 28, 2007",Hussein al-Zubaidi,Male,Iraq,Al-Ahali,Iraq,Print,Editor,"Politics, War",No,Local,Political Group,Murder,Yes,Yes,No,"
"
,"January 20, 2007",Rodolfo Rincón Taracena,Male,Mexico,Tabasco Hoy,Mexico,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Yes,Yes,Yes,"
"
,"January 19, 2007",Hrant Dink,Male,Turkey,Agos,Turkey,Print,Editor,"Human Rights, Politics",No,Local,Local Residents,Murder,Partial,No,Yes,"No
"
,"January 19, 2007",Jean-Rémy Badio,Male,Haiti,freelance,Haiti,Print,Photographer,Crime,Yes,Local,Criminal Group,Murder,Yes,No,No,"No
"
,"January 15, 2007",Falah Khalaf al-Diyali,Male,Iraq,Al-Sa'a,Iraq,Print,Photographer,War,No,Local,Political Group,Murder,Yes,No,No,"No
"
,on an unknown date (death disclosed February 2007),"Fesshaye ""Joshua"" Yohannes",Male,Eritrea,Setit,Eritrea,Print,Editor,Politics,No,Local,Government Officials,Dangerous Assignment,,Yes,No,"No
"
,"January  5, 2007",Ahmed Hadi Naji,Male,Iraq,Associated Press Television News,Iraq,Television,Camera Operator,War,Yes,Local,Political Group,Murder,Yes,Yes,,"No
"
,"December 12, 2006",Aswan Ahmed Lutfallah,Male,Iraq,APTN,Iraq,Television,Camera Operator,War,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"December  4, 2006",Nabil Ibrahim al-Dulaimi,Male,Iraq,Radio Dijla,Iraq,Radio,Editor,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"November 30, 2006",Maksim Maksimov,Male,Russia,Gorod,Russia,Print,Print Reporter,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,No,"No
"
,"November 21, 2006",Roberto Marcos García,Male,Mexico,Testimonio and Alarma,Mexico,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
,"November 15, 2006",Luma al-Karkhi,Female,Iraq,Al-Dustour,Iraq,Print,Print Reporter,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"November 13, 2006",Muhammad al-Ban,Male,Iraq,Al-Sharqiya,Iraq,Television,"Broadcast, Camera Operator","Human Rights, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"October 29, 2006",Naqshin Hamma Rashid,Female,Iraq,Atyaf,Iraq,Television,Broadcast,"Culture, Human Rights, Politics, Sports, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"October 27, 2006",Bradley Will,Male,Mexico,freelance,United States,Radio,Broadcast,Human Rights,Yes,Foreign,Government Officials,Dangerous Assignment,,No,No,"No
"
,"October 26, 2006",Saed Mahdi Shlash,Male,Iraq,Rayat al-Arab,Iraq,Print,Print Reporter,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"October 12, 2006",Hussein Ali,Male,Iraq,Al-Shaabiya,Iraq,Television,Technician,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"October 12, 2006",Ahmad Sha'ban,Male,Iraq,Al-Shaabiya,Iraq,Television,Broadcast,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"October 12, 2006",Thaker al-Shouwili,Male,Iraq,Al-Shaabiya,Iraq,Television,Broadcast,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"October 12, 2006",Noufel al-Shimari,Male,Iraq,Al-Shaabiya,Iraq,Television,Producer,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"October 12, 2006",Abdul-Rahim Nasrallah al-Shimari,Male,Iraq,Al-Shaabiya,Iraq,Television,Producer,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"October  7, 2006",Anna Politkovskaya,Female,Russia,Novaya Gazeta,Russia/United States,Print,Print Reporter,"Corruption, Human Rights, War",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"October  7, 2006",Christian Struwe,Male,Afghanistan,freelance,Germany,Radio,Broadcast,"Politics, War",No,Foreign,Unknown Fire,Murder,Yes,No,No,"No
"
,"October  7, 2006",Karen Fischer,Female,Afghanistan,freelance,Germany,Radio,Broadcast,"Politics, War",Yes,Foreign,Unknown Fire,Murder,Yes,No,No,"No
"
,"September 18, 2006",Ahmed Riyadh al-Karbouli,Male,Iraq,Baghdad TV,Iraq,Television,"Broadcast, Camera Operator","Human Rights, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,September 2006,Ogulsapar Muradova,Female,Turkmenistan,Radio Free Europe/Radio Liberty,Turkmen,Radio,Broadcast,Human Rights,No,Local,Government Officials,Murder,Yes,Yes,Yes,"Yes
"
,"September 13, 2006",Safa Isma'il Enad,Male,Iraq,freelance,Iraq,Print,Photographer,War,Yes,Local,Political Group,Murder,Yes,No,No,"No
"
,"September  9, 2006",Abdel Karim al-Rubai,Male,Iraq,Al-Sabah,Iraq,Print,Editor,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"September 6, 2006",Mohammed Taha Mohammed Ahmed,Male,Sudan,Al-Wifaq,Sudan,Print,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Yes,Yes,Yes,"Yes
"
,"August 22, 2006",Atilano Segundo Pérez Barrios,Male,Colombia,Radio Vigía de Todelar,Colombia,Radio,Columnist,"Corruption, Politics",No,Local,Paramilitary Group,Murder,Partial,No,Yes,"No
"
,"August  7, 2006",Mohammad Abbas Mohammad,Male,Iraq,Al-Bayinnah al-Jadida,Iraq,Print,Editor,"Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"August  7, 2006",Ismail Amin Ali,Male,Iraq,freelance,Iraq,Print,Columnist,"Politics, War",Yes,Local,Political Group,Murder,Yes,Yes,No,"Yes
"
,"July 30, 2006",Riyad Muhammad Ali,Male,Iraq,Talafar al-Yawm,Iraq,Print,Print Reporter,"Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"July 29, 2006",Adel Naji al-Mansouri ,Male,Iraq,Al-Alam,Iraq,Television,Broadcast,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"July 23, 2006",Layal Najib,Female,Lebanon,freelance,Lebanon,Print,Photographer,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"July 22, 2006",Abdul Qodus,Male,Afghanistan,Aryana TV,Afghanistan,Television,Camera Operator,War,No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
,"July 18, 2006",Armando Pace,Male,Philippines, DXDS,Philippine,Radio,Columnist,Politics,Yes,Local,Unknown Fire,Murder,Partial,No,Yes,"No
"
,"June 23, 2006",Martin Adler,Male,Somalia,freelance,Sweden,Print,Photographer,"Human Rights, Politics",Yes,Foreign,Criminal Group,Murder,Yes,No,No,"No
"
,"June 19, 2006",Maricel Vigo,Female,Philippines,DXND,Philippines,Radio,Columnist,Human Rights,Yes,Local,Political Group,Murder,Yes,No,No,"No
"
,"June 19, 2006",George Vigo,Male,Philippines,Union of Catholic Asian News,Philippines,Radio,Broadcast,"Corruption, Human Rights",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"June 16, 2006",Hayatullah Khan,Male,Pakistan,freelance,Pakistan,Print,Photographer,"Corruption, War",Yes,Local,Government Officials,Murder,Yes,Yes,Yes,"Yes
"
,"June 13, 2006",Ibrahim Seneid,Male,Iraq,Al-Bashara,Iraq,Print,Editor,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"May 31, 2006",Ali Jaafar,Male,Iraq,Al-Iraqiya,Iraq,Television,Broadcast,Sports,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"May 29, 2006",Paul Douglas,Male,Iraq,CBS,United Kingdom,Television,Camera Operator,War,No,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"May 29, 2006",James Brolan,Male,Iraq,CBS,United Kingdom,Television,Technician,War,No,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"May 29, 2006",Munir Ahmed Sangi,Male,Pakistan,Kawish Television Network (KTN),Pakistan,Television,Camera Operator,Human Rights,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"May 22, 2006",Fernando Batul,Male,Philippines,DZRH and DYPR,Philippines,Radio,Columnist,Corruption,Yes,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"May  8, 2006",Laith al-Dulaimi,Male,Iraq,Al-Nahrain,Iraq,Television,Broadcast,War,No,Local,Unknown Fire,Murder,Yes,Yes,No,"No
"
,"April 29, 2006",Herliyanto,Male,Indonesia,Radar Surabaya and Jimber News Visioner,Indonesia,Print,Print Reporter,Corruption,No,Local,Government Officials,Murder,Yes,No,No,"No
"
,"April  5, 2006",Jorge Aguirre,Male,Venezuela,Cadena Capriles (El Mundo),Venezuela,Print,Photographer,Human Rights,No,Local,Local Residents,Murder,No,No,No,"No
"
,"April 4, 2006",So'oud Muzahim al-Shoumari,Male,Iraq,Al-Baghdadia,Iraq,Television,Broadcast,"Corruption, Human Rights, War",No,Local,Political Group,Murder,Yes,Yes,No,"No
"
,"March 26, 2006",Kamal Manahi Anbar,Male,Iraq,freelance,Iraq,Print,Print Reporter,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"March 20, 2006",Gustavo Rojas Gabalo,Male,Colombia,Radio Panzenú,Colombia,Radio,Columnist,"Corruption, Culture, Sports",No,Local,Paramilitary Group,Murder,Yes,No,Yes,"No
"
,"March 13, 2006",Muhsin Khudhair,Male,Iraq,Alef Ba,Iraq,Print,Editor,War,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
,"March 11, 2006",Amjad Hameed,Male,Iraq,Al-Iraqiya,Iraq,Television,Producer,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"March  7, 2006",Munsuf Abdallah al-Khaldi,Male,Iraq,Baghdad TV,Iraq,Television,Broadcast,Culture,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"February 23, 2006",Atwar Bahjat,Female,Iraq,Al-Arabiya,Iraq,Television,Broadcast,War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"February 23, 2006",Adnan Khairallah,Male,Iraq,Wasan Productions and Al-Arabiya,Iraq,Television,Technician,War,Yes,Local,Political Group,Murder,Yes,No,No,"No
"
,"February 23, 2006",Khaled Mahmoud al-Falahi,Male,Iraq,Wasan Productions and Al-Arabiya,Iraq,Television,Camera Operator,War,Yes,Local,Political Group,Murder,Yes,No,No,"No
"
,"February 2, 2006",Wu Xianghu,Male,China,Taizhou Wanbao,China,Print,Editor,Corruption,No,Local,Government Officials,Murder,Yes,Yes,Yes,"No
"
,"January 25, 2006",Mahmoud Za'al,Male,Iraq,Baghdad TV,Iraq,Television,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"January 24, 2006",Subramaniyam Sugitharajah,Male,Sri Lanka,Sudar Oli,Sri Lanka,Print,Print Reporter,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,No,"No
"
,"January 8, 2006",Vagif Kochetkov,Male,Russia,Trud and Tulsky Molodoi Kommunar,Russia,Print,"Columnist, Print Reporter","Business, Culture, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"January  6, 2006",Prahlad Goala,Male,India,Asomiya Khabar,India,Print,Print Reporter,Corruption,No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"December 12, 2005",Gebran Tueni,Male,Lebanon,Al-Nahar,Lebanon,Print,Columnist,Politics,No,Local,Government Officials,Murder,Yes,No,No,"No
"
,"November 17, 2005",Gautam Das,Male,Bangladesh,Samakal,Bangladesh,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,Government Officials,Murder,Yes,No,No,"No
"
,"November 7, 2005",Ahmed Hussein Al-Maliki,Male,Iraq,Talafar al-Yawm,Iraq,Print,Editor,Politics,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"October 19, 2005",Mohammed Haroon,Male,Iraq,Al-Kadiya,Iraq,Print,Editor,"Politics, War",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"October 4, 2005",Maheshwar Pahari,Male,Nepal,Rastriya Swabhiman,Nepal,Print,Print Reporter,"Politics, War",No,Local,Government Officials,Dangerous Assignment,,Yes,No,"No
"
,"September 20, 2005",Firas Maadidi,Male,Iraq,As-Saffir and Al-Masar,Iraq,Print,Editor,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"September 19, 2005",Fakher Haider,Male,Iraq,The New York Times,Iraq,Print,Print Reporter,"Corruption, War",Yes,Local,Political Group,Murder,Yes,Yes,No,"No
"
,"September 17, 2005",Hind Ismail,Female,Iraq,As-Saffir,Iraq,Print,Print Reporter,"Politics, War",No,Local,Political Group,Murder,Yes,Yes,No,"Yes
"
,"August 28, 2005",Waleed Khaled,Male,Iraq,Reuters,Iraq,Television,Technician,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"August 27, 2005",Rafed Mahmoud Said al-Anbagy,Male,Iraq,Diyala TV and Radio,Iraq,Television,"Broadcast, Producer","Culture, Sports, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"August 12, 2005",Relangi Selvarajah,Female,Sri Lanka,Sri Lanka Rupavahini Corp.,Sri Lanka,Radio,Columnist,"Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"August  3, 2005",Steven Vincent,Male,Iraq,freelance,United States,Print,Print Reporter,"Corruption, Crime, War",Yes,Foreign,Criminal Group,Murder,Yes,Yes,No,"No
"
,"July 28, 2005",Harry Yansaneh,Male,Sierra Leone,For Di People,Sierra Leone,Print,"Columnist, Editor",Politics,No,Local,Government Officials,Murder,Yes,No,No,"No
"
,"July 23, 2005",Adnan al-Bayati,Male,Iraq,TG3,Iraq,Television,Producer,War,Yes,Local,Political Group,Murder,Yes,No,No,"No
"
,"July  3, 2005","Rolando ""Dodong"" Morales",Male,Philippines,DXMD,Philippines,Radio,Columnist,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
,"July  1, 2005",Khaled al-Attar,Male,Iraq,Al-Iraqiya,Iraq,Television,"Columnist, Producer",War,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
,"June 28, 2005",Ahmed Wael Bakri,Male,Iraq,Al-Sharqiyah,Iraq,Television,Producer,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"June 28, 2005",Magomedzagid Varisov,Male,Russia,Novoye Delo,Russia,Print,Print Reporter,"Politics, War",No,Local,Military Officials,Murder,Yes,No,Yes,"No
"
,"June 25, 2005",Bardhyl Ajeti,Male,Serbia,Bota Sot,Serbia/Montenegro,Print,"Columnist, Print Reporter",Politics,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"June 25, 2005",Maha Ibrahim,Female,Iraq,Baghdad TV,Iraq,Television,Producer,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"June  5, 2005",Duniya Muhyadin Nur,Female,Somalia,Capital Voice,Somalia,Radio,Broadcast,Human Rights,No,Local,Local Residents,Dangerous Assignment,,No,No,"No
"
,"June 2, 2005",Samir Qassir,Male,Lebanon,Al-Nahar,Lebanon,Print,Columnist,Politics,No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"June 2, 2005",Daif al-Gahzal al-Shuhaibi,Male,Libya,freelance,Libya,Radio,Internet Reporter,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,Yes,No,"No
"
,"May 31, 2005",Jerges Mahmood Mohamad Suleiman,Male,Iraq,Nineveh TV,Iraq,Television,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
,"May 21, 2005",Pavel Makeev,Male,Russia,Puls,Russia,Television,Camera Operator,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No
"
,"May 15, 2005",Ahmed Adam,Male,Iraq,Al-Mada,Iraq,Print,Print Reporter,War,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
,"May 15, 2005",Najem Abed Khudair,Male,Iraq,Al-Mada,Iraq,Print,Print Reporter,War,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
,"May 10, 2005",Philip Agustin,Male,Philippines,Starline Times Recorder,Philippines,Print,Editor,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,No,"No
"
,"May  4, 2005",Klein Cantoneros,Male,Philippines,DXAA-FM,Philippines,Radio,Columnist,"Corruption, Crime",Yes,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"April 29, 2005",Dharmeratnam Sivaram,Male,Sri Lanka,TamilNet and Daily Mirror,Sri Lanka,"Print, Radio",Columnist,"Politics, War",No,Local,Government Officials,Murder,Yes,Yes,Yes,"No
"
,"April 23, 2005",Saleh Ibrahim,Male,Iraq,Associated Press Television News,Iraq,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"April 19, 2005",Julio Augusto García Romero,Male,Ecuador,La Bocina and Punto de Vista,Ecuador,Print,Photographer,"Human Rights, Politics",No,Local,Military Officials,Dangerous Assignment,,No,No,"No
"
,"mid-April, 2005",Ahmed al-Rubai'i,Male,Iraq,Al-Sabah,Iraq,Print,Editor,War,No,Local,Criminal Group,Murder,Yes,Yes,No,"No
"
,"April 16, 2005",Dolores Guadalupe García Escamilla,Female,Mexico,Stereo 91,Mexico,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No
"
,"April 15, 2005",Saman Abdullah Izzedine,Male,Iraq,Kirkuk TV,Iraq,Television,Broadcast,War,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"April 14, 2005",Fadhil Hazem Fadhil,Male,Iraq,Al-Hurriya,Iraq,Television,Broadcast,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"April 14, 2005",Ali Ibrahim Issa,Male,Iraq,Al-Hurriya,Iraq,Television,Broadcast,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"April 4, 2005",Robenson Laraque,Male,Haiti,Tele Contact,Haiti,Radio,Broadcast,War,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
"
,"April  1, 2005",Ahmed Jabbar Hashim,Male,Iraq,Al-Sabah,Iraq,Print,Print Reporter,War,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
,"March 24, 2005",Marlene Garcia-Esperat,Female,Philippines,Midland News and DXKR,Philippines,Print,Columnist,Corruption,No,Local,Government Officials,Murder,Partial,No,Yes,"No
"
,"March 14, 2005",Hussam Sarsam,Male,Iraq,Kurdistan TV,Iraq,Television,Camera Operator,War,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
,"March 2, 2005",Elmar Huseynov,Male,Azerbaijan,Monitor,Azerbaijan,Print,Editor,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"February 25, 2005",Raeda Wazzan,Female,Iraq,Al-Iraqiya,Iraq,Television,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,Yes,Yes,"No
"
,"February 11, 2005",Sheikh Belaluddin,Male,Bangladesh,Sangram,Bangladesh,Print,Print Reporter,,No,Local,Political Group,Murder,No,No,No,"No
"
